REGION;CITY;addr:street;addr:housenumber;SEX;count;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;26;женский;21;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;27;мужской;10;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;27А;женский;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;28;женский;27;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;28;мужской;14;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;29;женский;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;29;мужской;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;2А;женский;456;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;3;мужской;327;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;30;мужской;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;31;женский;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;31А;мужской;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;32;мужской;2;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;32А;женский;4;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;33;мужской;4;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;35;женский;2;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;36;мужской;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;37;женский;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;38;женский;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;39;мужской;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;4;женский;2;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;40;мужской;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;41;женский;3;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;41А;женский;2;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;43;мужской;2;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;44;мужской;1;;;
