REGION;CITY;addr:street;addr:housenumber;SEX;count;;
Челябинская;Челябинск;250-летия Челябинска;28А;женский;225;;
Челябинская;Челябинск;250-летия Челябинска;28А;мужской;171;;
Челябинская;Челябинск;250-летия Челябинска;28Б;женский;60;;
Челябинская;Челябинск;250-летия Челябинска;28Б;мужской;26;;
Челябинская;Челябинск;250-летия Челябинска;29А;женский;1;;
Челябинская;Челябинск;250-летия Челябинска;30;женский;83;;
Челябинская;Челябинск;250-летия Челябинска;30;мужской;58;;
Челябинская;Челябинск;250-летия Челябинска;31;женский;8;;
Челябинская;Челябинск;250-летия Челябинска;31;мужской;2;;
Челябинская;Челябинск;250-летия Челябинска;32;женский;272;;
Челябинская;Челябинск;250-летия Челябинска;32;мужской;198;;
Челябинская;Челябинск;250-летия Челябинска;34;женский;269;;
Челябинская;Челябинск;250-летия Челябинска;34;мужской;196;;
Челябинская;Челябинск;250-летия Челябинска;34А;мужской;2;;
Челябинская;Челябинск;250-летия Челябинска;37;мужской;1;;
Челябинская;Челябинск;250-летия Челябинска;42;женский;100;;
Челябинская;Челябинск;250-летия Челябинска;42;мужской;65;;
Челябинская;Челябинск;250-летия Челябинска;44А;женский;68;;
Челябинская;Челябинск;250-летия Челябинска;44А;мужской;36;;
Челябинская;Челябинск;250-летия Челябинска;48;женский;27;;
Челябинская;Челябинск;250-летия Челябинска;48;мужской;21;;
Челябинская;Челябинск;250-летия Челябинска;48Б;мужской;1;;
Челябинская;Челябинск;250-летия Челябинска;5;женский;435;;
Челябинская;Челябинск;250-летия Челябинска;5;мужской;276;;
Челябинская;Челябинск;250-летия Челябинска;50;женский;31;;
Челябинская;Челябинск;250-летия Челябинска;50;мужской;44;;
Челябинская;Челябинск;250-летия Челябинска;50А;женский;3;;
Челябинская;Челябинск;250-летия Челябинска;50А;мужской;4;;
Челябинская;Челябинск;250-летия Челябинска;55;женский;1;;
Челябинская;Челябинск;250-летия Челябинска;5А;женский;59;;
Челябинская;Челябинск;250-летия Челябинска;5А;мужской;42;;
Челябинская;Челябинск;250-летия Челябинска;5Б;женский;59;;
Челябинская;Челябинск;250-летия Челябинска;5Б;мужской;39;;
Челябинская;Челябинск;250-летия Челябинска;5В;женский;47;;
Челябинская;Челябинск;250-летия Челябинска;5В;мужской;25;;
Челябинская;Челябинск;250-летия Челябинска;6;мужской;1;;
Челябинская;Челябинск;250-летия Челябинска;61;мужской;1;;
Челябинская;Челябинск;250-летия Челябинска;63;женский;83;;
